bir, sıfat	bir	 sıfat	 adjective	one		
ve, bağlaç	ve	 bağlaç	 conjunction	and		
olmak, fiil	olmak	 fiil	 verb	be		
bu, zamir	bu	 zamir	 pronoun	it		
için, edat	için	 edat	 preposition	for		
o, zamir	o	 zamir	 pronoun	He		
ben, zamir	ben	 zamir	 pronoun	I		
demek, fiil	demek	 fiil	 verb	say		
çok, sıfat	çok	 sıfat	 adjective	very		
yapmak, fiil	yapmak	 fiil	 verb	make		
ne, zarf	ne	 zarf	adverb	What		
gibi, bağlaç	gibi	 bağlaç	 conjunction	as		
daha, sıfat	daha	 sıfat	 adjective	more		
almak, fiil	almak	 fiil	 verb	receive		
var, sıfat	var	 sıfat	 adjective	there is		
kendi, zamir	kendi	 zamir	 pronoun	own		
gelmek, fiil	gelmek	 fiil	 verb	come		
ile, bağlaç	ile	 bağlaç	 conjunction	with		
vermek, fiil	vermek	 fiil	 verb	give		
ama, bağlaç	ama	 bağlaç	 conjunction	but		
sonra, edat	sonra	 edat	 preposition	after		
kadar, edat	kadar	 edat	 preposition	until		
yer, isim	yer	 isim	noun	place		
en, isim	en	 isim		most		
insan, isim	insan	 isim		human		
değil, isim	değil	 isim		not		
her, sıfat	her	 sıfat		each		
istemek, fiil	istemek	 fiil		request		
yıl, isim	yıl	 isim		year		
çıkmak, fiil	çıkmak	 fiil		exit		
görmek, fiil	görmek	 fiil		see		
gün, isim	gün	 isim		day		
biz, zamir	biz	 zamir		we		
gitmek, fiil	gitmek	 fiil		go		
iş, isim	iş	 isim		business		
şey, isim	şey	 isim		thing		
ara, isim	ara	 isim		intermediate		
ki, bağlaç	ki	 bağlaç		that		
bilmek, fiil	bilmek	 fiil		know		
el, isim	el	 isim		hand		
zaman, isim	zaman	 isim		time		
ya, bağlaç	ya	 bağlaç		either		
çocuk, isim	çocuk	 isim		child		
iki, sıfat	iki	 sıfat		two		
bakmak, fiil	bakmak	 fiil		look		
çalışmak, fiil	çalışmak	 fiil		work		
içinde, isim	içinde	 isim		in		
büyük, sıfat	büyük	 sıfat		big		
yok, zarf	yok	 zarf		no		
başlamak, fiil	başlamak	 fiil		start		
yol, isim	yol	 isim		way		
kalmak, fiil	kalmak	 fiil		stay		
neden, isim	neden	 isim		why		
siz, zamir	siz	 zamir		you		
